epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,2.002205919456482,2.0470138317108155,74.398,76.02,21.123999999999995,25.849999999999994
2,1.793751828956604,1.692645954322815,66.714,61.87,14.486000000000004,11.5
3,1.5733072686004639,1.5339254457473754,57.82,56.82,9.438000000000002,8.879999999999995
4,1.3710980616760253,1.2844622947692872,49.498,45.8,6.849999999999994,5.459999999999994
5,1.180541829032898,1.376827578163147,41.992,47.35,4.819999999999993,6.859999999999999
6,1.0507137113761902,1.6545453159332275,37.37,52.02,3.6400000000000006,10.700000000000003
7,0.940196220664978,1.2026598729133606,33.36,42.47,2.7759999999999962,3.6200000000000045
8,0.8526047960281372,1.1636538423538207,30.135999999999996,39.2,2.3100000000000023,4.1200000000000045
9,0.7899269598197937,1.2894534559249877,27.823999999999998,41.22,1.8299999999999983,7.819999999999993
10,0.7353000135803223,0.9546854764938354,25.819999999999993,31.879999999999995,1.691999999999993,2.8700000000000045
11,0.6970232349014283,1.1618295217514039,24.453999999999994,38.71,1.4920000000000044,2.030000000000001
12,0.6661738968276978,0.8592612812042236,23.209999999999994,29.019999999999996,1.3460000000000036,2.3400000000000034
13,0.6277217137527465,0.9014528816223144,21.831999999999994,30.680000000000007,1.230000000000004,2.719999999999999
14,0.6005803332519531,1.2393470691680908,20.873999999999995,40.0,1.1580000000000013,2.680000000000007
15,0.5794954444122314,0.8464318713188171,20.158,27.61,1.0799999999999983,2.0
16,0.5523261931610107,0.9617550629615784,19.266000000000005,31.769999999999996,0.945999999999998,2.989999999999995
17,0.5374320093345643,0.8934168876647949,18.714,28.53,0.8640000000000043,2.8100000000000023
18,0.5218715708351135,0.6956452024459839,18.215999999999994,23.28,0.8640000000000043,1.5999999999999943
19,0.49707694339752195,0.9641450002670288,17.268,31.58,0.7279999999999944,1.9399999999999977
20,0.4801266010284424,0.7875385791778564,16.644000000000005,26.680000000000007,0.7139999999999986,1.1599999999999966
21,0.4677439994239807,0.8576081021308899,16.331999999999994,26.799999999999997,0.6400000000000006,2.9399999999999977
22,0.4629137893295288,1.0362107975006103,16.043999999999997,33.36,0.6219999999999999,1.769999999999996
23,0.44959069646835326,1.0389661293029786,15.674000000000007,29.040000000000006,0.5939999999999941,2.3100000000000023
24,0.4290141248226166,0.7148118172645569,14.995999999999995,24.189999999999998,0.5460000000000065,1.3100000000000023
25,0.4233447359466553,0.7017433050155639,14.658000000000001,22.67,0.5720000000000027,1.7000000000000028
26,0.41659777791976926,0.8448827814102173,14.432000000000002,26.459999999999994,0.4860000000000042,2.219999999999999
27,0.4050951608276367,0.7797560868263245,14.030000000000001,25.260000000000005,0.49200000000000443,1.1299999999999955
28,0.3957024618530273,0.6776265117645264,13.701999999999998,22.430000000000007,0.5019999999999953,1.1500000000000057
29,0.38966173078536986,0.7228783030509949,13.676000000000002,22.980000000000004,0.45000000000000284,1.1899999999999977
30,0.3796309889602661,0.8413591237068176,13.296000000000006,25.549999999999997,0.41800000000000637,1.6599999999999966
31,0.3730300879859924,0.8997269052505493,12.975999999999999,24.89,0.4339999999999975,1.9699999999999989
32,0.36682678594589235,0.8185907178878784,12.817999999999998,25.099999999999994,0.3640000000000043,1.3900000000000006
33,0.3535376852321625,0.970661728477478,12.200000000000003,28.849999999999994,0.3719999999999999,2.3400000000000034
34,0.35208851552963255,0.6029524841308593,12.116,19.629999999999995,0.35599999999999454,0.8700000000000045
35,0.3466808466720581,0.7073295562744141,12.085999999999999,22.42,0.29399999999999693,1.6299999999999955
36,0.34333809478759764,0.6222665457725525,11.956000000000003,20.28,0.36199999999999477,1.4000000000000057
37,0.33250727880477904,0.9487677974700928,11.718000000000004,28.58,0.2819999999999965,1.6099999999999994
38,0.3314972952365875,0.9038364631652832,11.554000000000002,27.120000000000005,0.31399999999999295,1.6200000000000045
39,0.3226371906089783,0.9449934648513794,11.164000000000001,28.459999999999994,0.2980000000000018,1.4099999999999966
40,0.3222102034568787,0.6489920743942261,11.218000000000004,20.629999999999995,0.28600000000000136,1.0100000000000051
41,0.31301760983467103,0.7285940001487732,10.876000000000005,22.03,0.2540000000000049,1.519999999999996
42,0.30955569091796875,0.7748852963447571,10.86,24.42,0.2560000000000002,1.2800000000000011
43,0.3065661161708832,0.8000024054527283,10.811999999999998,24.430000000000007,0.2120000000000033,0.769999999999996
44,0.29859508076667785,0.7563514003753662,10.498000000000005,22.870000000000005,0.24800000000000466,1.8299999999999983
45,0.2947963899230957,0.5178658585548401,10.412000000000006,17.209999999999994,0.24800000000000466,0.8100000000000023
46,0.29650571887969973,0.5828290835380554,10.177999999999997,19.53,0.24399999999999977,0.8799999999999955
47,0.29003677572250364,0.8089152288913727,10.182000000000002,24.930000000000007,0.23199999999999932,0.9000000000000057
48,0.2808226110649109,0.6540538697242737,9.772000000000006,19.989999999999995,0.20999999999999375,1.5699999999999932
49,0.2789483753013611,0.7973402547836304,9.810000000000002,22.319999999999993,0.20399999999999352,1.7900000000000063
50,0.27531926466941836,0.8599372550964356,9.760000000000005,24.33,0.19599999999999795,1.5300000000000011
51,0.274256441488266,0.8470842800140381,9.730000000000004,24.53,0.17199999999999704,2.3499999999999943
52,0.27203851343154906,2.503563059234619,9.561999999999998,48.39,0.1419999999999959,2.0799999999999983
53,0.26800326214790343,0.5560922820091247,9.426000000000002,17.89,0.18600000000000705,0.8199999999999932
54,0.26409366382598876,0.968634095287323,9.194000000000003,26.680000000000007,0.16400000000000148,2.069999999999993
55,0.2645650610542297,0.658461694431305,9.352000000000004,20.730000000000004,0.17199999999999704,0.7900000000000063
56,0.25911347624778747,0.7663080087661743,9.105999999999995,22.700000000000003,0.16200000000000614,1.3700000000000045
