epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,4.3842231866455075,4.212048436737061,96.378,94.53,85.086,78.85
2,4.193641937561035,4.08014806060791,94.256,92.8,78.68,75.13
3,3.99506490524292,3.9155825439453125,91.25,90.26,72.078,69.83
4,3.786330417480469,3.8004205390930177,88.116,88.16,65.774,66.57
5,3.5984161781311035,3.5322383140563964,85.102,84.27,60.288,58.18
6,3.4156157970428467,3.4424407382965088,81.88,82.17,55.378,55.83
7,3.2658909438323973,3.286904207229614,78.908,79.16,51.272,52.31
8,3.115951549606323,3.2587591815948485,76.144,77.76,47.598,51.57
9,2.980375193939209,3.0445937198638915,73.852,75.05,44.258,46.18
10,2.8643389771270753,3.166862733459473,71.576,77.15,41.092,48.14
11,2.7564034199523926,2.899609139251709,69.48400000000001,72.03999999999999,38.708,42.48
12,2.6629503986358642,2.7228832160949707,67.75,68.78,36.298,37.72
13,2.5766052809143067,2.679182311248779,66.23400000000001,68.01,34.501999999999995,36.99
14,2.502918832702637,2.527602884674072,64.49600000000001,64.7,33.06399999999999,33.47
15,2.4406002168273924,2.6040749153137206,63.202,66.14,31.424000000000007,35.709999999999994
16,2.376478324356079,2.5027213970184325,62.042,64.31,30.308000000000007,33.14
17,2.3153678144836425,2.4664175132751467,60.732,63.36,28.951999999999998,32.239999999999995
18,2.260894976348877,2.4193318557739256,59.636,62.4,27.822000000000003,31.209999999999994
19,2.203779690475464,2.4000884593963625,58.124,61.96,26.354,30.86
20,2.1601593800354,2.306468824005127,57.376,60.16,25.831999999999994,29.040000000000006
21,2.103252038574219,2.3090371463775634,55.866,59.79,24.474000000000004,28.709999999999994
22,2.063122783050537,2.2210363494873047,55.096,58.62,23.626000000000005,27.040000000000006
23,2.0278602668762207,2.256781409835815,54.19,58.91,23.158,28.230000000000004
24,1.9830364309692383,2.244563108444214,53.448,58.45,22.245999999999995,27.120000000000005
25,1.9523127222442627,2.2329182256698608,52.628,58.24,21.64,27.180000000000007
26,1.9144322397613525,2.328173077011108,51.982,59.89,20.894000000000005,28.47
27,1.887659966659546,2.130796637535095,51.106,56.13,20.504000000000005,25.120000000000005
28,1.850998923187256,2.194095587539673,50.588,57.08,19.706000000000003,26.42
29,1.8212111962890625,2.09670826587677,49.958,55.63,19.188000000000002,24.120000000000005
30,1.7975000967407226,2.073090787887573,49.062,54.86,18.846000000000004,24.11
31,1.7726337928009033,2.0944020183563232,48.38,54.95,18.266000000000005,24.939999999999998
32,1.7491990168762208,2.092467449569702,47.944,55.19,17.951999999999998,24.819999999999993
33,1.726228313446045,2.015053879737854,47.452,53.73,17.676000000000002,22.64
34,1.697487106704712,2.0296534648895266,46.858,53.5,17.183999999999997,23.519999999999996
35,1.681046777610779,2.0497847448349,46.634,53.6,16.563999999999993,23.799999999999997
36,1.6633658100128175,2.0408193496704103,46.284,52.89,16.373999999999995,24.090000000000003
37,1.6488203494262694,2.0117890296936034,45.874,53.5,16.266000000000005,23.0
38,1.6295619475936889,2.007282538986206,45.182,52.37,15.835999999999999,22.489999999999995
39,1.6090665953826904,1.9777385513305663,44.626,51.49,15.591999999999999,22.25
40,1.6043676483917235,1.913063754272461,44.74,50.91,15.409999999999997,21.040000000000006
41,1.576584935951233,1.903928284072876,43.948,50.53,14.956000000000003,21.269999999999996
42,1.5646682693481446,1.964791841506958,43.894,51.7,14.688000000000002,22.180000000000007
43,1.5376713305664063,1.8956839614868164,43.204,50.37,14.468000000000004,20.810000000000002
44,1.5393055952835084,1.9544619272232056,43.06,51.32,14.358000000000004,21.72
45,1.5146660528564453,1.8758790761947632,42.606,50.2,14.138000000000005,20.180000000000007
46,1.495519019546509,2.019908451461792,42.354,52.78,13.707999999999998,22.92
47,1.488237137069702,1.8433485397338867,42.0,49.1,13.650000000000006,20.069999999999993
48,1.4748362387084961,1.9481500541687011,41.584,51.39,13.424000000000007,21.36
49,1.4622618613815308,1.8906060823440551,41.224,50.01,13.034000000000006,20.909999999999997
50,1.4434740702056885,1.8577477039337158,40.862,49.6,12.608000000000004,20.239999999999995
51,1.4308606901550294,1.9263490091323852,40.542,50.35,12.686000000000007,21.590000000000003
52,1.4202953841400145,1.9412088872909545,40.432,50.74,12.427999999999997,21.519999999999996
53,1.414827105140686,1.8056845680236817,40.106,48.26,12.334000000000003,19.290000000000006
54,1.4073608403015136,1.834890627670288,39.874,48.75,12.262,19.39
55,1.3893915531539918,1.8713460010528564,39.724,49.09,12.052000000000007,20.299999999999997
56,1.3845332632827758,1.9911888904571533,39.438,51.34,11.995999999999995,22.269999999999996
57,1.3860927166366577,1.8687582315444946,39.356,49.14,11.884,20.200000000000003
58,1.366839567565918,1.924430334854126,38.812,50.14,11.837999999999994,21.33
59,1.3517979404067992,1.8087016525268556,38.512,48.34,11.492000000000004,19.200000000000003
60,1.3368068228149415,1.9307406690597535,38.21,50.64,11.284000000000006,21.349999999999994
61,1.3378848625946045,1.8581668880462647,38.344,48.6,11.230000000000004,19.75
62,1.3312754024505615,1.7739078998565674,38.194,46.96,11.120000000000005,18.519999999999996
63,1.3178587100601196,1.8243208923339844,37.806,47.95,10.957999999999998,18.83
64,1.3118152198028565,1.861551177406311,37.57,49.05,10.872,19.78
65,1.3049134038925172,1.8617712802886963,37.558,47.96,10.831999999999994,20.049999999999997
66,1.3049662435531617,1.7649967296600342,37.572,47.07,10.75,18.689999999999998
67,1.2909721977233888,1.8241188711166383,37.188,47.95,10.676000000000002,19.120000000000005
68,1.2848352079391478,1.8094621709823608,36.998,47.7,10.64,18.67
69,1.2831272107696534,1.7833777431488038,36.948,47.56,10.483999999999995,18.510000000000005
70,1.2573956227874756,1.7798320158004761,36.43,47.26,10.150000000000006,18.89
71,1.2505817290496826,1.8198424949645997,36.028,47.33,10.108000000000004,19.28
72,1.252955417137146,1.7586008447647095,36.128,46.8,10.025999999999996,18.489999999999995
73,1.2494161201095582,1.8416824542999268,35.934,47.87,9.775999999999996,19.540000000000006
74,1.2378063737869263,1.7758433418273927,35.69199999999999,46.99,9.762,18.680000000000007
75,1.2309199376296998,1.7651504821777344,35.566,46.24,9.566000000000003,18.340000000000003
76,1.2216001209640504,1.8514896934509277,35.7,47.77,9.361999999999995,19.67
77,1.221908592185974,1.7561439128875733,35.403999999999996,46.19,9.537999999999997,18.099999999999994
78,1.2131933980178833,1.7763901134490967,35.120000000000005,46.33,9.373999999999995,17.989999999999995
79,1.205031031188965,1.7530587572097778,34.878,46.62,9.206000000000003,18.319999999999993
80,1.1983813488006592,1.7287888782501222,34.739999999999995,46.03,9.209999999999994,17.72
81,1.1914028027153014,1.7613819652557372,34.763999999999996,46.88,9.183999999999997,18.129999999999995
82,1.193252289276123,1.7793522291183472,34.55800000000001,46.54,9.084000000000003,18.209999999999994
83,1.1796690563201904,1.8338365058898927,34.322,48.19,9.007999999999996,18.569999999999993
84,1.1726607164001466,1.828106259727478,34.194,47.93,8.930000000000007,18.83
85,1.1683724213409423,1.7392032886505127,34.184,45.9,8.823999999999998,17.319999999999993
86,1.1612021407318116,1.768436385345459,33.897999999999996,46.53,8.605999999999995,18.129999999999995
87,1.1661903703689576,1.7786641527175904,34.11,46.22,8.867999999999995,18.28
88,1.169450094909668,1.8058810264587402,34.036,47.0,8.745999999999995,18.14
89,1.1498706800079346,1.760210327911377,33.581999999999994,46.21,8.604,18.17
90,1.1443915245437621,1.6486007814407349,33.593999999999994,43.47,8.459999999999994,16.569999999999993
91,1.1437103762054444,1.6832691478729247,33.53,44.68,8.518,16.819999999999993
92,1.1369918715667724,1.738311905860901,33.616,45.8,8.284000000000006,17.180000000000007
93,1.1320451117706298,1.7135325996398927,33.43000000000001,44.43,8.162000000000006,17.189999999999998
94,1.1327247888183594,1.719350971221924,32.986000000000004,45.04,8.495999999999995,17.269999999999996
95,1.1282232805252075,1.6781751710891724,33.266000000000005,44.61,8.111999999999995,16.840000000000003
96,1.1196405490303039,1.7079134630203248,32.75,44.96,8.194000000000003,16.659999999999997
97,1.1165279934692383,1.7381062030792236,32.897999999999996,45.24,7.963999999999999,17.680000000000007
98,1.1180789234161377,1.6867198089599609,32.688,44.54,8.052000000000007,16.64
99,1.111264375076294,1.74161589717865,32.724000000000004,45.34,7.793999999999997,17.040000000000006
100,1.111055509223938,1.7063504598617554,32.724000000000004,44.87,8.099999999999994,16.739999999999995
