epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,4.395194784851074,4.2818924324035645,96.43,95.52,86.03999999999999,81.6
2,4.145453484649658,4.039775950622559,93.854,92.46,77.976,74.72
3,3.9253816416931153,3.8605494689941406,90.74,89.78999999999999,70.23,67.96000000000001
4,3.7058535194396973,3.7054811435699464,87.102,87.19,63.352,63.74
5,3.5101736653137205,3.4658029964447024,83.91,83.03999999999999,57.918,57.07
6,3.349007213897705,3.7282944480895996,80.626,85.68,53.274,62.59
7,3.1835084632873536,3.179219213485718,77.71000000000001,78.09,49.118,49.61
8,3.0226498218536375,3.1982350425720214,74.622,76.92,45.018,48.54
9,2.866255451965332,3.3128360122680665,71.696,77.96000000000001,41.202,50.92
10,2.730838961181641,2.8448751304626465,69.214,71.53,38.162,40.43
11,2.603356619720459,3.0677813983917237,66.80199999999999,73.71000000000001,34.888000000000005,44.63
12,2.5004694009399415,2.7521068756103517,64.49199999999999,69.07,32.775999999999996,38.43
13,2.3984273183441163,3.0032170429229734,62.722,71.69,30.230000000000004,41.64
14,2.3168525901794434,2.7503980098724363,60.61,68.03999999999999,28.852000000000004,38.51
15,2.2324390270996095,2.9244021644592286,58.976,70.28999999999999,27.214,40.8
16,2.1599493785858153,2.738853817367554,57.094,67.21000000000001,25.542,36.78
17,2.1049933155822753,2.748263780593872,56.08,66.44,24.510000000000005,36.56
18,2.0448872593688967,2.505449083328247,54.588,63.69,23.394000000000005,32.239999999999995
19,1.9970149702453612,2.4020005027770996,53.702,61.23,22.433999999999997,30.090000000000003
20,1.9501930178070068,2.7019791202545167,52.488,65.83,21.599999999999994,34.599999999999994
21,1.9008944891357422,2.352490450286865,51.622,60.46,20.644000000000005,29.22
22,1.851695707321167,2.8034281326293944,50.136,66.72999999999999,19.757999999999996,34.040000000000006
23,1.8167863939666749,3.120772829437256,49.562,69.09,19.150000000000006,38.91
24,1.7715131356811524,2.688427487564087,48.794,62.82,18.25,32.97
25,1.7408204860687255,2.3134524810791017,47.756,58.06,17.701999999999998,29.22
26,1.6986823010635377,2.4000829856872556,46.884,59.16,16.964,28.989999999999995
27,1.6661557459640504,2.3263600257873533,46.066,58.27,16.573999999999998,27.769999999999996
28,1.6322835723495484,2.4179749755859374,45.226,59.47,15.878,28.689999999999998
29,1.6081782064819337,2.397095230484009,44.892,59.26,15.540000000000006,28.819999999999993
30,1.5869920211029054,2.2402005168914796,44.248,57.04,15.152000000000001,25.730000000000004
31,1.5588980810165405,2.431176069831848,43.516,59.69,14.604,27.569999999999993
32,1.5231745363616944,2.688750417327881,42.798,61.42,14.054000000000002,32.989999999999995
33,1.5023359088516235,2.2656111961364744,42.188,57.28,13.792000000000002,26.689999999999998
34,1.4811310321044922,2.4584585624694824,41.836,59.31,13.504000000000005,29.810000000000002
35,1.4581847152709961,2.331401303100586,41.326,58.2,13.144000000000005,27.480000000000004
36,1.4324359646224976,2.397252603149414,40.3,57.66,12.778000000000006,27.760000000000005
37,1.4097016628265382,2.478745781707764,39.994,58.84,12.382000000000005,28.480000000000004
38,1.395392629699707,2.125429132461548,39.436,54.1,12.153999999999996,23.909999999999997
39,1.3742793676757812,2.2310169841766356,39.082,54.57,11.817999999999998,24.340000000000003
40,1.3603311197280883,2.1277404878616335,38.816,52.27,11.506,23.11
41,1.3433261233901979,2.3425334159851072,38.554,56.93,11.319999999999993,26.760000000000005
42,1.3290575844192505,2.4907847175598143,38.134,59.63,10.933999999999997,28.92
43,1.31162908744812,2.3956819274902346,37.572,56.31,10.804000000000002,26.480000000000004
44,1.3043324032211303,2.443703371810913,37.554,56.58,10.733999999999995,26.590000000000003
45,1.2858776137542725,2.231055990600586,37.142,54.63,10.376000000000005,23.810000000000002
46,1.2666130952453614,2.8020937259674072,36.454,62.91,10.313999999999993,32.260000000000005
47,1.2581361120986938,2.0990497177124023,36.018,52.38,10.11,22.39
48,1.2425896381759645,2.695289043045044,35.83,59.74,9.953999999999994,29.450000000000003
49,1.224517438697815,2.6065046516418455,35.501999999999995,59.29,9.664000000000001,28.53
50,1.228964549446106,2.1674775732040406,35.75,52.9,9.638000000000005,23.14
51,1.2061396020126343,2.2411014993667604,34.986000000000004,54.0,9.195999999999998,24.64
52,1.1989118836975097,2.169279052352905,34.896,52.36,9.212000000000003,23.090000000000003
53,1.1848307930755615,2.7344436079025267,34.44199999999999,59.46,9.104,27.090000000000003
54,1.1699338039398193,2.1306683292388917,34.262,52.54,8.823999999999998,21.599999999999994
55,1.1608775646209717,2.3848793552398684,33.93000000000001,55.28,8.670000000000002,25.64
56,1.1560183644485473,2.1487599731445313,33.634,53.06,8.61,22.549999999999997
57,1.1436305615615845,2.129105439567566,33.355999999999995,52.11,8.474000000000004,21.849999999999994
58,1.1393293897247314,2.310218680381775,33.604,52.93,8.284000000000006,24.120000000000005
59,1.1289579439544677,2.9743605968475344,33.054,62.74,8.439999999999998,32.67
60,1.1185662291145324,2.2890429904937744,32.792,53.62,8.165999999999997,24.540000000000006
61,1.1163355701065063,2.4460415645599367,32.812,56.07,8.025999999999996,25.049999999999997
62,1.0931372133636474,2.419330284118652,32.352000000000004,55.21,7.652000000000001,25.180000000000007
63,1.0939150942611695,2.304177720069885,32.054,53.5,7.900000000000006,23.599999999999994
64,1.08756688041687,2.459440170288086,32.038,55.55,7.731999999999999,24.040000000000006
65,1.0805563082504273,3.1263704612731935,31.903999999999996,63.8,7.5319999999999965,35.120000000000005
66,1.0681395421981812,2.4219394859313965,31.819999999999993,55.03,7.563999999999993,24.409999999999997
67,1.0639504431915283,2.036869997215271,31.75,49.26,7.384,20.659999999999997
68,1.0520178952407837,2.7691533042907714,31.378,58.28,7.347999999999999,28.47
69,1.045343476638794,2.187245756530762,30.964,51.35,7.109999999999999,21.86
70,1.0402320720291138,2.3467697635650633,30.849999999999994,55.25,7.043999999999997,23.989999999999995
71,1.0366436808395385,2.2642586112976075,30.950000000000003,53.34,6.927999999999997,23.540000000000006
72,1.0326108459091186,2.21789354019165,30.668000000000006,52.93,7.010000000000005,22.099999999999994
73,1.019904968891144,2.1015843732833863,30.263999999999996,50.58,6.878,20.629999999999995
74,1.0113144845962525,2.10328596534729,30.293999999999997,50.2,6.709999999999994,20.879999999999995
75,1.0148338457870483,2.106616485595703,30.501999999999995,49.72,6.745999999999995,20.58
76,1.0114149983024596,2.153730139160156,30.201999999999998,50.9,6.731999999999999,20.75
77,1.007021806716919,2.288170252037048,30.141999999999996,53.06,6.599999999999994,23.739999999999995
78,0.9950381753158569,2.4201414142608644,29.819999999999993,55.17,6.408000000000001,24.769999999999996
79,1.0007267236709594,2.156011555480957,29.790000000000006,51.13,6.451999999999998,21.17
80,0.9947970215988159,2.7476165391921996,29.876000000000005,60.1,6.524000000000001,28.08
81,0.9790969432067871,2.7570526573181153,29.284000000000006,58.3,6.340000000000003,28.75
82,0.9702178273773193,2.5781565856933595,28.823999999999998,56.51,6.263999999999996,25.819999999999993
