epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,7.089428512912408,6.705005760192871,99.7574867288964,99.642,98.90880736079089,98.258
2,6.465180959028225,6.831128496398926,99.12720199630493,99.056,96.45861936812483,96.472
3,6.021316620594327,6.422975004577637,97.90862549534916,98.406,92.36852026317004,94.288
4,5.810557895640413,7.495547421875,96.85872333583366,98.694,89.42674920599734,95.69200000000001
5,5.648355238559732,5.890015094451904,95.86642490791598,96.778,86.95392560064565,89.4
6,5.52490533795545,6.11255218963623,94.98917783552027,96.98,84.88698194692807,90.468
7,5.425833312545104,6.623074752807617,94.15603118094674,97.908,83.0833919387577,93.158
8,5.353668754707266,5.900481551208496,93.60590773880563,95.6,81.82094918149215,86.914
9,5.284026257459841,7.101216403198242,92.97780851364607,97.39,80.53048509679252,91.952
10,5.217418836012224,5.910344009857178,92.4489937689622,95.774,79.42079369824728,87.632
11,5.160167016746,6.06230284942627,91.90698792585198,95.682,78.3429482651364,87.07
12,5.10465092312514,5.370839280700683,91.34827856165512,92.888,77.30662747323339,80.332
13,5.059806836454146,5.312815658111572,90.88424850156332,92.738,76.43507833092798,79.926
14,5.021284569086609,5.481811135864258,90.51419526103935,93.71,75.69411325768021,82.738
15,4.985386561636232,5.547309785614014,90.18059316232964,94.038,75.05680367977381,83.612
16,4.952457948314228,6.730003901062012,89.81093019098994,97.324,74.39599989697265,91.5
17,4.923545196564634,5.836484678649902,89.54718627626406,94.79,73.95975700279698,85.018
18,4.897150092413621,6.021709569396973,89.23075602165838,95.364,73.45755861648199,86.126
19,4.874018481448413,6.653165606231689,89.00525848698882,96.42,73.00273890913705,89.262
20,4.847215578552668,6.585396350708008,88.7625110543765,96.798,72.51170222149398,89.884
21,4.828206394014586,5.112377302246093,88.50360647753553,91.236,72.12034028350715,77.496
22,4.813104065032864,5.014784263763428,88.36248514050081,90.06,71.86057711445892,75.668
23,4.799280556493196,5.322162099609375,88.20122591356534,92.174,71.60994624433,79.524
24,4.784383781372933,5.62434864440918,88.0405130634804,93.938,71.30288245014302,83.42
25,4.7732110511669985,6.232136035919189,87.92569586947087,95.722,71.0570128640603,88.168
26,4.757560134922836,5.1842741418457035,87.75226024398069,91.876,70.74112898630888,78.644
27,4.744470132549481,4.92260367767334,87.59997720828336,89.73,70.50946519852603,73.836
28,4.730464078562991,5.1005911030578615,87.40484261614606,90.49,70.20521134247508,76.256
29,4.722298162462928,5.203722395935059,87.31734426503522,92.016,70.06268503637699,79.166
30,4.712863258917668,5.121265877685547,87.19159953386249,91.016,69.89401069493859,77.102
31,4.291094040212207,6.105416944580078,81.77559990227846,92.904,61.773991993237416,82.54599999999999
32,4.284027222028894,4.726801250610351,81.71175186373235,85.964,61.607034836209785,67.712
33,4.291899412349877,4.486160156097412,81.79964048402745,84.53,61.79498847535099,65.274
34,4.30033908187852,4.886558361206054,81.90844753260114,88.56,61.93813921214204,71.994
35,4.305499537522921,5.0979439808654785,81.9459914281295,89.178,62.02298373281475,73.59
36,4.309729244341688,5.81120369644165,81.98556472341232,92.652,62.05077089871968,80.526
37,4.305971292166549,4.903303156433106,81.97284194800893,87.224,62.022983732807305,70.206
38,4.303360454625454,4.883488658294678,81.9438839745326,88.202,61.985595944948926,71.45
39,4.303759609479958,5.463498182373047,81.9093841786471,91.396,61.94219801165656,78.538
40,4.302967217884519,5.018430997009277,81.8880754811824,88.636,61.99129387506714,73.51
