epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,4.344658094482422,4.208818983459473,95.704,94.64,84.03,80.02
2,4.1230035050964355,4.026596794891358,93.342,92.82,76.906,74.42
3,3.813001795043945,3.72309605178833,88.594,86.83,66.33,64.47
4,3.5339458976745606,3.4910567459106447,83.816,83.64,58.326,57.82
5,3.267803461303711,3.611332982635498,79.382,83.07,51.02,58.42
6,2.9970512461853027,2.93629814453125,74.3,73.03,44.066,42.98
7,2.7820945834350588,2.9662482837677002,70.044,72.97,38.692,44.08
8,2.583724892959595,2.7282514430999756,66.3,69.28,34.346000000000004,37.48
9,2.422756667251587,2.6687499332427977,62.928,67.37,30.921999999999997,36.2
10,2.287961360549927,2.741048807525635,60.066,67.62,28.138000000000005,36.85
11,2.1642901500701903,2.5942461292266845,57.528,64.65,25.418000000000006,33.11
12,2.0687238064575197,2.5920610454559325,55.084,64.65,23.811999999999998,33.11
13,1.9643028734970094,2.5818112598419187,53.042,63.71,21.646,32.68000000000001
14,1.8821638760375976,2.355290859222412,50.976,59.98,20.212000000000003,29.700000000000003
15,1.802166862564087,2.2910154090881347,49.272,58.03,18.754000000000005,27.28
16,1.7199080758666991,2.2990609846115113,47.264,57.82,17.311999999999998,27.620000000000005
17,1.6539936260986328,2.1782998012542722,45.712,55.3,16.274,25.060000000000002
18,1.5874739881134032,2.318299095916748,44.026,57.59,15.244,27.159999999999997
19,1.5250743531036377,2.4048815734863283,42.388,58.09,14.168000000000006,28.840000000000003
20,1.4641079584503174,2.1587754802703856,41.118,54.27,13.200000000000003,25.060000000000002
21,1.419940824584961,2.34392759475708,40.022,57.48,12.391999999999996,26.14
22,1.3698044915008545,1.9791633932113648,38.936,49.9,11.780000000000001,21.47
23,1.3224910038757325,2.184658350753784,37.68,54.44,11.090000000000003,23.58
24,1.2695098399734497,2.1631267498016356,36.218,53.02,10.272000000000006,23.269999999999996
25,1.238043013496399,2.0531674087524414,35.721999999999994,51.04,9.825999999999993,22.370000000000005
26,1.193291926841736,2.171628719520569,34.47,53.8,9.242000000000004,23.08
27,1.1565251371383667,1.9492951276779176,33.513999999999996,49.76,8.867999999999995,20.459999999999994
28,1.1166239591217042,1.9631433109283447,32.507999999999996,48.0,8.14,19.980000000000004
29,1.078802827835083,2.064421074104309,31.726,50.08,7.674000000000007,21.730000000000004
30,1.040783674697876,2.1005377841949464,30.566000000000003,51.28,7.197999999999993,21.92
31,1.016463390312195,2.019593217086792,29.810000000000002,49.4,6.804000000000002,21.019999999999996
32,0.9825781215667725,2.0067319635391234,29.084000000000003,49.5,6.477999999999994,20.22
33,0.951839907951355,2.1121865732192995,28.269999999999996,50.59,6.182000000000002,22.11
34,0.9225934095382691,2.4122434619903563,27.354,54.02,5.641999999999996,24.189999999999998
35,0.8972455490112304,1.9195296611785888,26.563999999999993,47.09,5.4879999999999995,18.700000000000003
36,0.8656698991394043,2.344543083381653,25.870000000000005,51.86,5.096000000000004,22.849999999999994
37,0.8452713278198242,2.072521490764618,25.391999999999996,47.4,4.822000000000003,20.159999999999997
38,0.8247478734588624,2.0655342931747436,24.933999999999997,48.67,4.536000000000001,19.760000000000005
39,0.7943737125015259,2.2523350091934202,23.924000000000007,49.89,4.268000000000001,20.92
40,0.7796265756988525,2.366251072883606,23.676000000000002,51.91,4.037999999999997,22.879999999999995
41,0.7533785326004029,2.7598683860778808,23.019999999999996,57.1,3.8220000000000027,27.47
42,0.7265135765266418,2.344435721588135,22.17,50.81,3.5619999999999976,22.36
43,0.7004853023910522,2.3308756135940554,21.542,50.29,3.25,21.340000000000003
44,0.6966565972518921,2.2709839496612547,21.680000000000007,49.19,3.1940000000000026,20.930000000000007
45,0.670924158782959,2.077700612449646,20.763999999999996,47.11,2.9479999999999933,19.459999999999994
46,0.6486285513114929,2.377164592170715,20.120000000000005,50.01,2.804000000000002,21.53
47,0.6290899621772766,2.3740124851226807,19.488,49.94,2.578000000000003,22.22
48,0.6186662949752808,2.1660701763153076,19.334000000000003,46.91,2.5819999999999936,19.739999999999995
49,0.6029784921455383,2.322698299407959,18.756,49.92,2.3940000000000055,20.849999999999994
50,0.5819204274749756,2.184603336715698,18.319999999999993,46.63,2.2180000000000035,19.680000000000007
51,0.5720417250442504,2.436700266647339,17.947999999999993,50.56,2.0819999999999936,22.650000000000006
52,0.5564161520195008,2.6142697105407713,17.471999999999994,51.5,1.9719999999999942,23.879999999999995
53,0.5467198282241821,2.3435184587478637,17.238,49.18,1.8799999999999955,20.209999999999994
54,0.5325446471595764,2.2300906475067137,16.944000000000003,46.51,1.8160000000000025,19.519999999999996
55,0.516994985332489,2.178975733566284,16.394000000000005,46.55,1.6659999999999968,18.799999999999997
56,0.5071643530845642,2.2902091962814333,16.311999999999998,47.41,1.6659999999999968,20.0
